"Listing"

"WFR Listing"
"Created 09 March 2022 19:37"


"CVN","Bale Capacity (cu m)","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Laden (knots)","Eco-Speed - Ballast (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region","Homogeneous TEU","Demo Location","Manager Group","Original Builder","Original Builder Group"
13068509,,,,,,,,,"The London P&I Club",,"05-Jul-2019",,,"31-Jul-2024",28.6,,9272.11,125,"N",,,"Zhoushan Hefeng Shpg","China P.R.","China COSCO Shipping","China P.R.",,,,,,,,"China P.R.","China P.R.",590,,"Zhoushan Hefeng Shpg","Mawei SB (Mawei)","Fujian Shipbuilding"
13068633,,,,,,,,,"The London P&I Club",,"30-Mar-2020",,,"30-Apr-2025",28.6,,9302.96,125,"N",,,"Qingdao Pengteng SM","China P.R.","Asean Seas Line","Hong Kong",,,,,,,,"China P.R.","Hong Kong",590,,"Qingdao Pengteng SM","Mawei SB (Mawei)","Fujian Shipbuilding"
13070281,,,,,,,,,"Standard Club P&I",,"14-Dec-2018",,,"01-Jan-2024",100,,13433.19,198.74,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"Germany","Switzerland",821,,"MSC","Howaldtswerke Werft","ThyssenKrupp"
13077651,,,,,,,,,"West of England P&I",,"26-Mar-2019",,,"25-Mar-2024",44,,14674.84,170,"N",,,"PIL","Singapore","Karnaphuli Group","Bangladesh",,,,,,,,"Japan","Bangladesh",1200,,"PIL","Shin Kurushima","Shin Kurushima Group"
13079497,,,,,,,,,"Shipowners P&I",39.5,"16-Jan-2019",,,"15-Jan-2024",64,,15500.13,177.41,"Y",,,"Trust Maritime","Singapore","PSA International","Singapore",,,,,,,,"China P.R.","Singapore",1305,,"Trust Maritime","Hudong Shipyard","Hudong Shipyard"
13079521,,,,,,,,,"The Swedish Club P&I",,"06-Nov-2019",,,"10-Oct-2024",64,,15500.13,177.41,"Y",,,"Element Shipmgmt","Greece","CMA CGM","France",,,,,,,,"China P.R.","France",1305,,"Element Shipmgmt","Hudong Shipyard","Hudong Shipyard"
13079655,,,,,"Bangladesh",,,,,,"17-Mar-2014",,,"17-Mar-2019",64,,15500.13,177.41,"Y",,,"Trust Maritime","Singapore","PSA International","Singapore",,,,,,,,"China P.R.","Singapore",1304,"Bangladesh","Trust Maritime","Hudong Shipyard","Hudong Shipyard"
13083173,,,,,,,13354,13517,"North of England P&I",,"23-Feb-2019",,,"30-Jan-2024",39.8,,13193.50,159,"N",,,"Cheng Lie Navigation","Taiwan","CMA CGM","France",,,,,,,,"Taiwan","Taiwan",1120,,"CMA CGM","CSBC (Kaohsiung)","CSBC Corporation"
13083881,,,,,,,,,"Shipowners P&I",,"18-May-2018",,,"13-May-2023",45,,14160.67,172,"N",,,"Pelayaran Meratus","Indonesia","A.P. Moller","Denmark",,,,,,,,"Japan","Denmark",1210,,"Pelayaran Meratus","Imabari SB Marugame","Imabari Shipbuilding"
13092517,,,,,,,12502,12502,"Britannia P&I",,"17-May-2018",,,"02-May-2023",36,,12420.80,145.77,"N",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Taiwan","Denmark",838,,"A.P. Moller","CSBC (Keelung)","CSBC Corporation"
13092641,,,,,,,12502,12502,"Standard Club P&I",,"01-May-2017",,,"30-Apr-2022",36,,12420.80,145.77,"N",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Taiwan","Denmark",838,,"A.P. Moller","CSBC (Keelung)","CSBC Corporation"
13092775,,,,,,,12502,12502,"Britannia P&I",,"07-Jun-2019",,,"01-Feb-2023",36,,12420.80,145.77,"N",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Taiwan","Denmark",838,,"A.P. Moller","CSBC (Keelung)","CSBC Corporation"
13092809,,,,,,,12502,12502,"Britannia P&I",,"05-Mar-2018",,,"04-Mar-2023",36,,12573.22,145.77,"Y",,,"Maersk","Denmark","A.P. Moller","Denmark",,,,,,,,"Taiwan","Denmark",838,,"A.P. Moller","CSBC (Keelung)","CSBC Corporation"
13094779,,,,,,,,,"UK P&I Club",,"03-Sep-2018",,,"07-Oct-2023",150,,31075.49,281.6,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",,,"MSC","Samsung HI","Samsung HI"
13094803,,,,,,,,,"UK P&I Club",,"14-Aug-2019",,,"12-Aug-2024",150,,31075.49,281.6,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",,,"MSC","Samsung HI","Samsung HI"
13094937,,,,,,,,,"UK P&I Club",,"18-Dec-2019",,,"26-Sep-2024",150,,31075.49,281.6,"N",,,"MSC (Cyprus)","Cyprus","MSC","Italy",,,,,,,,"South Korea","Switzerland",3250,,"MSC","Samsung HI","Samsung HI"
