"Listing"

"WFR Listing"
"Created 15 February 2022 02:21"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
16379352,9892846,"BOKM Ningbo","01-Sep-2021","BoCom Leasing","In Service",173793,,,,"Atlantic/Pacific",,,"28-May-2021",12,,57791,,,"Diverse",,,,"BOKM Ningbo",214717,"1 x FP Propeller (Aft Centre) (mechanical), 58rpm",,,"Y",,,"Y",,,"YZJ2015-2177","Xiang B32 HK Intl. Ship Lease Co, Ltd.",,"China P.R.",,"5LCD6"
16379365,9892858,"BOKM Tubarao","01-Nov-2021","BoCom Leasing","In Service",173793,,,,"Atlantic/Pacific",,,,12.33,,57752,,,"Diverse",,,,"BOKM Tubarao",214717,"1 x FP Propeller (Aft Centre) (mechanical), 58rpm",,,"Y",,,"Y",,,"YZJ2015-2178","Xiang B33 HK Intl. Ship Lease Co, Ltd.",,"China P.R.",,"5LCY7"
16345681,9847542,"Ore Shantou","01-Jun-2020","VLOC Holding","In Service",173762,,,,"Atlantic/Pacific",,,"17-Jan-2020",12.29,,58031,,,"Capesize Bulker",,,,"Ore Shantou",214769,"1 x Propeller (Aft Centre) (mechanical), 58rpm",,,,,,"Y",,,"OC325K-3","Ore Shantou HK Ltd",,"China P.R.",,"VRSZ5"
16345694,9847554,"Ore Chongqing","01-Aug-2020","VLOC Holding","In Service",173762,,,,"Atlantic/Pacific",,,"15-May-2020",11.79,,58019,,,"Capesize Bulker",,,,"Ore Chongqing",214769,"1 x Propeller (Aft Centre) (mechanical), 58rpm",,,,,,"Y",,,"OC325K-4","Ore Chongqing HK Ltd.",,"China P.R.",,"VRTK3"
16379336,9851256,"BOKM Shanghai","01-Jun-2021","BoCom Leasing","In Service",173756,,,,"Atlantic/Pacific",,,"26-Mar-2021",12.24,,57983,,,"Diverse",,,,"BOKM Shanghai",214717,"1 x Propeller (Aft Centre) (mechanical), 58rpm",,,"Y",,,"Y",,,"YZJ2015-2175","Xiang B3 HK Intl. Ship Lease Co, Ltd.",,"China P.R.",,"5LAS2"
16379349,9851268,"BOKM Zhoushan","01-Sep-2021","BoCom Leasing","In Service",173756,,,,"Atlantic/Pacific",,,"28-May-2021",12.46,,57972,,,"Diverse",,,,"BOKM Zhoushan",214717,"1 x Propeller (Aft Centre) (mechanical), 58rpm",,,"Y",,,"Y",,,"YZJ2015-2176","Xiang B28 HK Intl. Ship Lease Co, Ltd.",,"China P.R.",,"5LCD2"
16347519,9850111,"K. Iron Mountain","01-Apr-2020","SK Shipping","In Service",173756,,,,"Atlantic/Pacific",,,"11-Nov-2019",12.79,,57944,,,"Tanker",,,,"K. Iron Mountain",214820,"1 x FP Propeller (Aft Centre) (mechanical)",,,"Y",,,,,,"B300K-8","DSIC VLOC1 Shipholding SA",,"South Korea",,"3EAK7"
16347522,9850123,"K Premium Ore","01-Jun-2020","SK Shipping","In Service",173756,,,,"Atlantic/Pacific",,,"23-Apr-2020",12.44,,57948,,,"Tanker",,,,"K Premium Ore",214820,"1 x FP Propeller (Aft Centre) (mechanical)",,,"Y",,,,,,"B300K-9","DSIC Vloc2 Shipholding SA",,"South Korea",,"3FUT5"
16352421,9850331,"Grand Pioneer","01-Sep-2020","U-Ming Marine","In Service",173721,,,,"Atlantic/Pacific",,,"06-Jun-2020",12.37,,57791,,,"Bulker",,,,"Grand Pioneer",214770,"1 x FP Propeller (Aft Centre) (mechanical), 72rpm",,"Y",,,,,,,"OC325K-10","U-Ming Marine Transport (Singapore) Pte. Ltd.",,"Taiwan",,"9V6604"
16352434,9850343,"Grand Wisdom","01-Dec-2020","U-Ming Marine","In Service",173721,,,,"Atlantic/Pacific",,,"27-Sep-2020",12.89,,57791,,,"Bulker",,,,"Grand Wisdom",214770,"1 x FP Propeller (Aft Centre) (mechanical), 72rpm",,"Y",,,,,,,"OC325K-11","U-Ming Marine Transport (Singapore) Pte. Ltd.",,"Taiwan",,"9V6605"
