"Listing"

"WFR Listing"
"Created 09 March 2022 19:30"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
12823295,"Odense Lindo",20842,,,1419,1734,,,,,10316,"Post-Panamax Container",,,,"Claes Maersk",10611,"1 x FP Propeller (Aft Centre) (mechanical), 120rpm",14,,,,,,,,"152","MAERSK SHIPPING HONG KONG LIMITED","Denmark",,"VRRR2",25.08,"Containerships",77812,"Extra Large (100+)","Denmark"
12823329,"Odense Lindo",20842,,,1419,1734,,,,,10316,,,,,"Cecilie",10611,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",14,,"Y",,,,,,"153",,"Unknown",,"T8A3230",25.08,"Containerships",77812,,"Unknown"
12823453,"Hyundai HI (Ulsan)",21963,,,,1869,,"17-Oct-1993",,44.6,9749,"Diverse",,,,"Lal Bahadur Shastri",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,"Y",,,,"Y",,,"819","Shipping Corp. Of India Ltd.","India",,"VVGJ",25.33,"Containerships",,"Extra Large (100+)","India"
12825031,"Stocznia Gdynia",37323,,,,3501,,"23-Sep-1994",12.56,,22371,"Container",,1500,2001,"MSC Kerry",15949,"1 x FP Propeller (Aft Centre) (mechanical), 102rpm",22,,,,,,,,"8109/1","Kerry Oceanway Ltd.","Switzerland",,"3FJF8",,"Containerships",,"Extra Large (100+)","Italy"
12825299,"Stocznia Gdynia",23540,,,2602,2078,1016,,13.54,,10977,"Diverse",,,,"MSC Hina",,"1 x FP Propeller (Aft Centre) (mechanical), ABB, 97rpm",,,,,,,,,"8111/1","HINA MARITIME LIMITED","Greece",,"D5JC2",,"Containerships",,"Very Large (51-100)","Greece"
12825323,"Stocznia Gdynia",23540,,,2640,2078,,"02-May-1995",13.36,,10977,"Diverse",,,,"Pax",,"1 x FP Propeller (Aft Centre) (mechanical), ABB, 97rpm",,,,,,,,,"8111/2","Mila 3 Maritime Inc.","Greece",,"D5JB9",,"Containerships",,"Very Large (51-100)","Greece"
12825581,"Orskovs Staal.",6297,,,,703,,,10.08,20.6,2982,"General Cargo",,,,"MC Hunter",,"1 x CP Propeller (Aft Centre) (mechanical), 141rpm",,,,,,,,,"185","Moreta Shipping Line","Philippines",,"DUH3624",,"Containerships",80718,"Medium (11-20)","Philippines"
12825615,"Orskovs Staal.",6297,,,,703,,,12.21,20.6,2982,"General Cargo",,,,"Span Asia 25",2870,"1 x CP Propeller (Aft Centre) (mechanical), KaMeWa",,,,,,,,,"186","Philippine Span Asia Carrier Corp.","Philippines",,"DUA3479",,"Containerships",80718,"Large (21-50)","Philippines"
12826533,"Dae Sun Shipbuilding",4811,,,,357,,,9.49,,2410,"Diverse",,,,"TMS Glory",,"1 x Propeller (Aft Centre) (mechanical), 210rpm",23,,,,,,,,"400","Tresnamuda Sejati","Indonesia",,"JZMV",,"Containerships",,"Very Small (1-5) ","Indonesia"
12826791,"Samsung S.B (Busan)",37398,,,4200,3424,,"23-Oct-1993",14.56,62.6,20334,"Container",,,,"MSC Rossella",11217,"1 x FP Propeller (Aft Centre) (mechanical), 102rpm",23,,,,,,,,"1105","Rossella Maritime Inc.","Switzerland",,"3FFA6",,"Containerships",,"Extra Large (100+)","Italy"
