"Listing"

"WFR Listing"
"Created 16 February 2022 06:06"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
16254282,5,"1 x Exhaust Scrubber - SOx - Pacific Green Tech",,,,,"International",,,,,16,1,10,5,12,0,17,8,,4,9,7,9,2,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach","F","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s)",18.5,"Bulk Carrier",32.32
16254295,5,,,,,,"International",,,,,,,30,0,13,0,18,5,9,0,4,,21,,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach","F","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,800rpm driving 1 x Stamford Power UCM 274 F13 - AC generator(s) at 120ekW total, (150kVA total) at 60Hz",18.5,"Bulk Carrier",32.32
16254316,5,"1 x Exhaust Scrubber - SOx - Pacific Green Tech",,,,,"International",,,,,11,,11,6,2,,12,15,,2,28,2,15,2,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach MJC-280T","F",,18.5,"Bulk Carrier",32.32
16254329,5,"1 x Exhaust Scrubber - SOx - Pacific Green Tech",,,,,"International",,,,,16,,10,,,,17,3,6,4,21,8,20,1,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach MJC-280T","F","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 60Hz",18.5,"Bulk Carrier",32.32
16189412,9,,,,,35.95,"International",,,,,24,,15,19,2,,3,,,,29,0,6,1,,,,,,,,,"1 x Boiler, Oil/Gas fired - Kangrim - , 1 x Boiler, Exhaust Heated - Kangrim","F","1 x Emergency Diesel Gen. - Agco Sisu 645 DSBIG - 4-stroke 6-cyl. 111mm x 145mm bore/stroke 200mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",19,"Bulk Carrier",32.32
16254303,5,"1 x Exhaust Scrubber - SOx - Pacific Green Tech",,,,,"International",,,,,0,,,,0,7,,0,20,4,14,20,41,,,,,,3.5,5.5,,,"1 x Boiler, Composite - Mitsubishi HI Mach MJC-280T","F","1 x Emergency Diesel Gen. - 4-stroke  driving 1 x AC generator(s) at 50Hz",18.5,"Bulk Carrier",32.31
16269781,5,,,,,,"International",,,,,21,,11,,2,0,11,2,1,9,14,19,10,1,,,2.5,2.5,,,,,"1 x Boiler, Composite","F","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,800rpm driving 1 x ac generator(s) at 60Hz",18.5,"Bulk Carrier",32.31
16269794,5,,,,,,"International",,,,,8,,0,,,0,9,,5,1,37,8,26,6,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens","F","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",18.51,"Bulk Carrier",32.31
16269815,5,,,,,,"International",,,,,,,,,,,0,27,,13,30,22,8,,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens","F","1 x Emergency Diesel Gen. - Cummins Inc 6CT8.3-D(M) - 4-stroke 6-cyl. 114mm x 135mm bore/stroke 140mkW total at 1,500rpm driving 1 x generator(s)",18.5,"Bulk Carrier",32.31
16256860,5,,,,,,"International",,,,,44,7,7,,,,,,,,39,,7,3,,,3,3,4.3,5.5,,,"1 x Boiler, Composite - Saacke at 8 bar","F","1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x ac generator(s)",18.5,"Bulk Carrier",32.31
