"Listing"

"WFR Listing"
"Created 16 February 2022 17:56"


"CVN","IMO Number","MMSI (Maritime Mobile Service Identity)","Type at Sale","Name at Sale","Dwt","Built","Builder","En. Bloc.","En. Bloc. No.","Sale Date","Currency","Price (Sale)","Buyers","Buyer Country/Region","Sellers","Seller Country/Region","Old Type","Demo Location","Year Rebuilt Convert","LDT","Demo $/LDT","Contract Date","Demo Date","Price (NB)","Currency (NB)","Gear (Ind)","Holds Total No","Hatches Total No","Strengthened for Ore","Grain Capacity (cu m)","Great Lakes Fitted","Great Lakes Only","Demo Buyer","Sale Teu Total Cap","Capacity (cu m)","Sale Dwt Tonnes","Sale Gt","Vessel Age At Sale"
16178795,9573830,351724000,"Bulk","Ikan Senyur",61494,2010,"Shin Kasado Dock",,,"30-Dec-2021","USD",22,"Far Eastern interests","Unknown","Ehime Kaiun","Japan",,,,,,"01-Apr-2007",,,,"Y",5,5,,77674,,"N",,,,61494,34795,11
16070822,9410430,431504000,"Bulk","Sakura",228614,2010,"Namura Shipbuilding",,,"29-Dec-2021","USD",23.5,"Clients of Winning Intl","Singapore","Nippon Yusen Kaisha","Japan",,,,,,"01-Jan-2006",,,,"N",9,9,,146938,"N","N",,,,228614,113928,11
16195763,9603697,477766200,"Bulk","Jin Tao",56628,2012,"CSC Qingshan SY",,,"23-Dec-2021","RMB",16.06,"Chinese interests","China P.R.","ICBC Leasing","China P.R.",,,,,,"01-Feb-2010",,,,"Y",5,5,,71634,,"N",,,,56628,32694,9
16182413,9562037,477792100,"Bulk","Jin Qi",93079,2012,"CSC Jinling Shipyard",,,"23-Dec-2021","RMB",17.34,"Chinese interests","China P.R.","ICBC Leasing","China P.R.",,,,,,"01-Aug-2009",,,,"N",7,7,,110330,,"N",,,,93079,51130,9
16183665,9544061,374084000,"Bulk","Scarlet Albatross",81923,2015,"Tsuneishi Zosen",,,"23-Dec-2021","USD",31.7,"Greek interests","Greece","Noma Kaiun","Japan",,,,,,"01-Nov-2007",,,,"N",7,7,,97157,,,,,,81923,42995,6
16381100,,412471640,"Bulk","Yue Hong Feng 1",11598,2009,"Zhejiang Fangyuan",,,"23-Dec-2021","RMB",15,"Chinese interests","China P.R.","Guangzhou Hongfeng","China P.R.",,,,,,"01-Jan-2007",,,,"N",3,3,,,,,,,,11598,9457,12
16013461,9357420,372851000,"Bulk","DD Vanguard",26479,2007,"Sungdong SB",,,"22-Dec-2021","USD",12,"Turkish interests","Turkey","DD Shipping Ltd.","Russia",,,,,,"03-May-2005",,,,"Y",5,5,,34552,,,,,,26479,17136,14
16072626,9425667,563149600,"Bulk","Atlantic Legend",83685,2009,"Sanoyas",,,"22-Dec-2021","USD",18,"Clients of Adhart Shipping","Singapore","Sojitz Marine","Japan",,,,9955,,"01-Jul-2006",,,,"N",7,7,,96152,"N","N",,,,83685,44146,12
16155259,9545077,636017904,"Bulk","Boxy",34148,2012,"Dae Sun Shipbuilding",,,"22-Dec-2021","USD",15.5,"Undisclosed interests","Unknown","Interunity Mgmt DE","Greece",,,,,,"01-Jul-2008",,,,"Y",5,5,,46587.85,,"N",,,,34148,22400,9
16119264,9485887,314610000,"Bulk","AS Elbia",34394,2011,"SPP Goseong SY",,,"22-Dec-2021","USD",16.75,"Clients of Elamira Mrtm","Greece","Wilhelmsen Ahrenkiel","Germany",,,,9238,,"22-Nov-2007",,,,"Y",5,5,,48765,,,,,,34394,23443,10
