"PERIOD","REPORTER","PARTNER","PRODUCT","FLOW","TRANSPORT_MODE","INDICATORS","Value","Flag and Footnotes"
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Self Propulsion","VALUE_IN_EUROS","243,642,429",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Self Propulsion","QUANTITY_IN_100KG","14,428",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","IMPORT","Self Propulsion","QUANTITY_IN_TONS","1,443",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Unknown","VALUE_IN_EUROS","83,610,371",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Unknown","QUANTITY_IN_100KG","111,737",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Unknown","QUANTITY_IN_TONS","11,174",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Sea","VALUE_IN_EUROS","23,409,894,706",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Sea","QUANTITY_IN_100KG","55,057,176",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Sea","QUANTITY_IN_TONS","5,505,718",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Rail","VALUE_IN_EUROS","1,235,055,616",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Rail","QUANTITY_IN_100KG","4,395,668",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Rail","QUANTITY_IN_TONS","439,567",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Road","VALUE_IN_EUROS","13,415,608,590",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Road","QUANTITY_IN_100KG","25,737,942",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Road","QUANTITY_IN_TONS","2,573,794",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Air","VALUE_IN_EUROS","12,770,625,281",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Air","QUANTITY_IN_100KG","2,428,880",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Air","QUANTITY_IN_TONS","242,888",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Post","VALUE_IN_EUROS","120,864,515",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Post","QUANTITY_IN_100KG","14,143",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Post","QUANTITY_IN_TONS","1,414",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Fixed Mechanism","VALUE_IN_EUROS","68,735,223",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Fixed Mechanism","QUANTITY_IN_100KG","890,983",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Fixed Mechanism","QUANTITY_IN_TONS","89,098",""
"Nov. 2020","Germany (incl. German Democratic Republic 'DD' from 1991)","Extra-EU (= 'WORLD' - 'EU_INTRA')","Total","EXPORT","Inland Waterway","VALUE_IN_EUROS","22,353,044",""
