"variable","name","type","group","in_calc","source","calc_type","definition","description","unit","unit.abbr"
"SOx.Scrubber.Details",,,"characteristic","no","WFR","raw",,,,
"NOx.Detail",,,"characteristic","no","WFR","raw",,,,
"Main.Engine.LNG.Capable",,,"characteristic","no","WFR","raw",,,,
"Alternative.Fuel.Type.Ready",,,"characteristic","no","WFR","raw",,,,
"Dwt.per.TEU",,,"characteristic","no","WFR","raw",,,,
"Beta.Deployment..Last.12.Months.",,,"activity","no","WFR","raw",,,,
"Beta.Port..Last.12.Months.",,,"activity","no","WFR","raw",,,,
"Beta.Country..Last.12.Months.",,,"activity","no","WFR","raw",,,,
"Beta.Region..Last.12.Months.",,,"activity","no","WFR","raw",,,,
"Beta.Global.Zone.Group..Last.12.Months.",,,"activity","no","WFR","raw",,,,
"West.Coast.N.America.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"West.Coast.S.America.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"East.Coast.N.America.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"East.Coast.S.America.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"West.Coast.Africa.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"UK.Cont.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"East.Coast.Africa.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Med.Black.Sea.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Australasia.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Middle.East.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"East.Asia.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Indian.Subcont.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"SE.Asia.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"North.Asia.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Southern.Ocean.Deployment..Time.in.Last.12.Months....",,,"activity","no","WFR","raw",,,,
"Arctic.Deployment..Time.in.Last.12.Months....",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.at.Ballast.Speed..tpd.",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.at.Laden.Speed..tpd.",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.In.Port...Idle..tpd.",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.In.Port...Working..tpd.",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.In.Port..tpd.",,,"characteristic","no","WFR","raw",,,,
"Aux.Consumption.at.Service.Speed..tpd.",,,"characteristic","no","WFR","raw",,,,
"Boiler.Detail",,,"characteristic","no","WFR","raw",,,,
"Hatch.Description",,,"characteristic","no","WFR","raw",,,,
"Emergency.Engine.Detail",,,"characteristic","no","WFR","raw",,,,
"Depth.Moulded..m.",,"numnonneg","characteristic","indirectly","WFR","raw",,,,
"Group",,,"characteristic","no","WFR","raw",,,,
"Beam.Ext..m.",,,"characteristic","indirectly","WFR","raw",,,,
"year","reporting year",,,,"MRV","raw",,,,
"MRV.EU.distance","reported distance",,,,"MRV","raw",,,"nautical miles","nm"
"report_fc","reported annual fuel consumption",,,,"MRV","raw",,,"million tonnes","Mt"
"MRV.method.a","reporting method A",,,,"MRV","raw",,,,
"MRV.method.b","reporting method B",,,,"MRV","raw",,,,
"MRV.method.c","reporting method C",,,,"MRV","raw",,,,
"MRV.method.d","reporting method D",,,,"MRV","raw",,,,
"MRV.verifier.country","verifier country",,,,"MRV","raw",,"Country of MRV verifier",,
"MRV.verifier.name","verifier name",,,,"MRV","raw",,"Name of MRV verifier",,
"MRV.ship.type","Ship type",,,,"MRV","raw",,,,
"timestamp_count","Number of observations",,"quality","no","AIS","aggregated",,,,
"distance_sum","Distance travelled","numnonneg","activity","no","AIS","aggregated",,"Distance calculated from AIS data","nautical miles","nm"
"work_sum","Travel work","numnonneg","calc","variant","AIS","derived","$\sum v^2 \cdot d$","Energy required to overcome drag","nm^3/h^2",
"trip_nunique","Number of trips","numnonneg","activity","no","AIS","aggregated",,"Number of trips detected from AIS data",,
"interpolated_sum","Number of interpolated observations",,"quality","no","AIS","aggregated",,,,
"W_component_first","Admiralty static term","numnonneg","calc","directly","AIS+WFR","derived","$C / (t_{\textit{ref}}^{0.66} \cdot v_{\textit{ref}}^3)$","Static term of (\ref{eqn:admiralty})","$\text{kilowatts}/(\text{meters}^{0.66} \cdot \text{knots}^3)$",
"ME_W_ref_first","Main Engine Power","numnonneg","characteristic","directly","WFR","raw",,"Power rating of main engine","kilowatts","kW"
"t_m_times_v_n_sum","Admiralty instantaneous term","numnonneg","calc","variant","AIS","derived","$\sum t^{0.66} \cdot v^3$","Aggregation of instantaneous term of (\ref{eqn:admiralty})","$\text{meters}^{0.66} \cdot \text{knots}^3$",
