,_key_left,_key_right
293,0,8747
294,0,8746
295,0,8745
296,0,8744
297,0,8743
298,0,8742
299,0,8741
300,0,8740
301,0,8739
302,0,8738
303,0,8737
304,0,8736
305,0,8735
306,0,8734
307,0,8733
308,0,8641
309,0,8642
310,0,8643
311,0,8644
312,0,8645
313,0,8646
314,0,8647
315,0,8648
316,0,8649
317,0,8650
318,0,8651
319,0,8652
320,0,8653
321,0,8663
322,0,8664
323,0,8665
324,0,8666
325,0,8667
326,0,8668
327,0,8669
328,0,8670
329,0,8671
330,0,8672
331,0,8654
332,0,8655
333,0,8656
334,0,8657
335,0,8658
336,0,8659
337,0,8660
338,0,8661
339,0,8662
340,0,8732
341,0,8673
342,0,8674
343,0,8675
344,0,8676
345,0,8677
346,0,8678
347,0,8679
348,0,8680
349,0,8681
350,0,8682
351,0,8683
352,0,8684
353,0,8685
354,0,8686
355,0,8687
356,0,8688
357,0,8689
358,0,8690
359,0,8691
360,0,8692
361,0,8693
362,0,8694
363,0,8695
364,0,8696
365,0,8697
366,0,8698
367,0,8699
368,0,8700
369,0,8701
370,0,8702
371,0,8703
372,0,8704
373,0,8705
374,0,8706
375,0,8707
376,0,8708
377,0,8709
378,0,8710
379,0,8711
380,0,8712
381,0,8713
382,0,8714
383,0,8715
384,0,8716
385,0,8717
386,0,8718
387,0,8719
388,0,8720
389,0,8721
390,0,8722
391,0,8640
392,0,8639
393,0,8638
394,0,8637
395,0,8636
396,0,8431
397,0,8723
398,0,8724
399,0,8725
400,0,8726
401,0,8727
402,0,8728
403,0,8729
404,0,8730
405,0,8731
406,0,8432
407,0,8635
408,0,8450
409,0,8629
410,0,8628
411,0,8627
412,0,8454
413,0,8626
414,0,8455
415,0,8625
416,0,8456
417,0,8624
418,0,8496
419,0,8588
420,0,8587
421,0,8545
422,0,8558
423,0,8570
424,0,8559
425,0,8546
426,0,8583
427,0,8549
428,0,8585
429,0,8581
430,0,8577
431,0,8550
432,0,8562
433,0,8561
434,0,8554
435,0,8584
436,0,8572
437,0,8586
438,0,8575
439,0,8556
440,0,8560
441,0,8573
442,0,8563
443,0,8567
444,0,8571
445,0,8548
446,0,8557
447,0,8578
448,0,8564
449,0,8582
450,0,8565
451,0,8569
452,0,8553
453,0,8574
454,0,8579
455,0,8551
456,0,8568
457,0,8552
458,0,8580
459,0,8566
460,0,8576
461,0,8555
462,0,8547
463,0,8497
464,0,8511
465,0,8536
466,0,8537
467,0,8535
468,0,8524
469,0,8501
470,0,8510
471,0,8522
472,0,8540
473,0,8539
474,0,8541
475,0,8515
476,0,8500
477,0,8502
478,0,8534
479,0,8516
480,0,8513
481,0,8506
482,0,8529
483,0,8527
484,0,8523
485,0,8533
486,0,8530
487,0,8518
488,0,8532
489,0,8509
490,0,8526
491,0,8498
492,0,8521
493,0,8508
494,0,8542
495,0,8525
496,0,8543
497,0,8531
498,0,8512
499,0,8503
500,0,8514
501,0,8538
502,0,8505
503,0,8519
504,0,8520
505,0,8499
506,0,8504
507,0,8528
508,0,8507
509,0,8517
510,0,8544
511,0,342
512,0,1297
513,0,2308
514,0,343
515,0,353
516,0,360
517,0,374
518,0,373
519,0,375
520,0,349
521,0,1330
522,0,370
523,0,345
524,0,365
525,0,346
526,0,372
527,0,2362
528,0,364
529,0,369
530,0,2355
531,0,2341
532,0,2318
533,0,2354
534,0,2335
535,0,2338
536,0,2359
537,0,2360
538,0,2319
539,0,2339
540,0,1300
541,0,1314
542,0,1324
543,0,1319
544,0,1318
545,0,1327
546,0,355
547,0,384
548,0,352
549,0,351
550,0,379
551,0,380
552,0,367
553,0,378
554,0,1302
555,0,1303
556,0,1329
557,0,1328
558,0,2331
559,0,1304
560,0,1326
561,0,350
562,0,359
563,0,358
564,0,354
565,0,357
566,0,348
567,0,371
568,0,362
569,0,344
570,0,2349
571,0,1313
572,0,1322
573,0,386
574,0,376
575,0,381
576,0,356
577,0,363
578,0,366
579,0,368
580,0,1301
581,0,1325
582,0,1321
583,0,1316
584,0,1309
585,0,1306
586,0,1305
587,0,2357
588,0,2333
589,0,1307
590,0,2315
591,0,2340
592,0,2320
593,0,2309
594,0,2326
595,0,2317
596,0,2327
597,0,2328
598,0,2329
599,0,2330
600,0,2310
601,0,2316
602,0,2312
603,0,2321
604,0,2311
605,0,2322
606,0,2336
607,0,2325
608,0,2356
609,0,2332
610,0,2334
611,0,2358
612,0,2314
613,0,2353
614,0,1312
615,0,2361
616,0,2313
617,0,2345
618,0,2346
619,0,2347
620,0,2350
621,0,2343
622,0,2351
623,0,2352
624,0,2344
625,0,2337
626,0,361
627,0,2342
628,0,1320
629,0,1308
630,0,1317
631,0,1299
632,0,1323
633,0,1311
634,0,1298
635,0,382
636,0,1315
637,0,385
638,0,377
639,0,347
640,0,1310
641,0,2348
642,0,387
643,0,1331
644,0,2363
645,0,388
646,0,383
647,0,2323
648,0,2324
649,0,5507
650,0,5582
651,0,5581
652,0,5580
653,0,5579
654,0,5578
655,0,5577
656,0,5576
657,0,5575
658,0,5574
659,0,5573
660,0,5572
661,0,5571
662,0,5570
663,0,5569
664,0,5568
665,0,5567
666,0,5566
667,0,5565
668,0,5398
669,0,5397
